Date,Input (Min),Total (H),Level,met_target,rolling_avg,target_rolling
2026-01-02,11.0,6.733333333333333,1,False,,
2026-01-03,10.0,6.9,1,False,,
2026-01-04,6.0,7.0,1,False,,
2026-01-05,30.0,7.5,1,True,,
2026-01-06,20.5,7.841666666666667,1,False,,
2026-01-07,32.0,8.375,1,True,,
2026-01-08,15.0,8.625,1,False,17.785714285714285,28.57142857142857
2026-01-09,6.0,8.725,1,False,17.071428571428573,28.57142857142857
2026-01-10,33.0,9.275,1,True,20.357142857142858,42.857142857142854
2026-01-11,31.0,9.791666666666666,1,True,23.928571428571427,57.14285714285714
2026-01-12,23.0,10.175,1,False,22.928571428571427,42.857142857142854
2026-01-13,31.8,10.705,1,True,24.542857142857144,57.14285714285714
2026-01-14,30.9,11.219999999999999,1,True,24.385714285714283,57.14285714285714
2026-01-15,16.0,11.486666666666666,1,False,24.52857142857143,57.14285714285714
2026-01-16,10.0,11.653333333333332,1,False,25.099999999999998,57.14285714285714
2026-01-17,14.0,11.886666666666665,1,False,22.385714285714283,42.857142857142854
2026-01-18,33.5,12.444999999999999,1,True,22.74285714285714,42.857142857142854
2026-01-19,31.0,12.961666666666666,1,True,23.885714285714283,57.14285714285714
2026-01-20,30.0,13.461666666666666,1,True,23.628571428571426,57.14285714285714
2026-01-21,31.0,13.978333333333332,1,True,23.642857142857142,57.14285714285714
2026-01-22,10.0,14.145,1,False,22.785714285714285,57.14285714285714
2026-01-23,30.0,14.645,1,True,25.642857142857142,71.42857142857143
2026-01-24,30.0,15.145,1,True,27.928571428571427,85.71428571428571
2026-01-25,30.5,15.653333333333332,1,True,27.5,85.71428571428571
2026-01-26,33.5,16.211666666666666,1,True,27.857142857142858,85.71428571428571
2026-01-27,30.0,16.711666666666666,1,True,27.857142857142858,85.71428571428571
2026-01-28,30.5,17.219999999999995,1,True,27.785714285714285,85.71428571428571
2026-01-29,30.0,17.719999999999995,1,True,30.642857142857142,100.0
2026-01-30,30.0,18.219999999999995,1,True,30.642857142857142,100.0
2026-01-31,30.0,18.719999999999995,1,True,30.642857142857142,100.0
2026-02-01,33.5,19.27833333333333,1,True,31.071428571428573,100.0
2026-02-02,31.0,19.794999999999998,1,True,30.714285714285715,100.0
2026-02-03,32.0,20.32833333333333,1,True,31.0,100.0
2026-02-04,34.0,20.894999999999996,1,True,31.5,100.0
2026-02-05,30.0,21.394999999999996,1,True,31.5,100.0
2026-02-06,30.0,21.894999999999996,1,True,31.5,100.0
2026-02-07,36.0,22.494999999999997,1,True,32.357142857142854,100.0
2026-02-08,33.5,23.05333333333333,1,True,32.357142857142854,100.0
2026-02-09,32.0,23.586666666666662,1,True,32.5,100.0
2026-02-10,30.0,24.086666666666662,1,True,32.214285714285715,100.0
2026-02-11,30.0,24.586666666666662,1,True,31.642857142857142,100.0
2026-02-12,32.5,25.12833333333333,1.5,True,32.0,100.0
2026-02-13,15.0,25.37833333333333,1.5,False,29.857142857142858,85.71428571428571
2026-02-14,4.0,25.444999999999997,1.5,False,25.285714285714285,71.42857142857143
2026-02-15,31.0,25.961666666666662,1.5,True,24.928571428571427,71.42857142857143
2026-02-16,30.5,26.469999999999995,1.5,True,24.714285714285715,71.42857142857143
2026-02-17,30.5,26.97833333333333,1.5,True,24.785714285714285,71.42857142857143
2026-02-18,31.0,27.494999999999997,1.5,True,24.928571428571427,71.42857142857143
2026-02-19,32.0,28.02833333333333,1.5,True,24.857142857142858,71.42857142857143
2026-02-20,30.5,28.536666666666665,1.5,True,27.071428571428573,85.71428571428571
2026-02-21,18.0,28.836666666666662,1.5,False,29.071428571428573,85.71428571428571
2026-02-22,32.0,29.369999999999997,1.5,True,29.214285714285715,85.71428571428571
2026-02-23,30.5,29.87833333333333,1.5,True,29.214285714285715,85.71428571428571
2026-02-24,30.0,30.37833333333333,1.5,True,29.142857142857142,85.71428571428571
2026-02-25,30.0,30.87833333333333,1.5,True,29.0,85.71428571428571
2026-02-26,30.0,31.37833333333333,1.5,True,28.714285714285715,85.71428571428571
2026-02-27,30.5,31.886666666666663,1.5,True,28.714285714285715,85.71428571428571
2026-02-28,30.0,32.38666666666666,1.5,True,30.428571428571427,100.0
2026-03-01,30.0,32.88666666666666,1.5,True,30.142857142857142,100.0
2026-03-02,30.0,33.38666666666666,1.5,True,30.071428571428573,100.0
2026-03-03,30.0,33.88666666666666,1.5,True,30.071428571428573,100.0
2026-03-04,30.0,34.38666666666666,1.5,True,30.071428571428573,100.0
2026-03-05,15.0,34.63666666666666,1.5,False,27.928571428571427,85.71428571428571
2026-03-06,16.0,34.90333333333333,1.5,False,25.857142857142858,71.42857142857143
2026-03-07,31.0,35.419999999999995,1.5,True,26.0,71.42857142857143
2026-03-08,16.5,35.695,1.5,False,24.071428571428573,57.14285714285714
2026-03-09,30.5,36.20333333333333,1.5,True,24.142857142857142,57.14285714285714
2026-03-10,30.0,36.70333333333333,1.5,True,24.142857142857142,57.14285714285714
2026-03-11,30.0,37.20333333333333,1.5,True,24.142857142857142,57.14285714285714
2026-03-12,30.0,37.70333333333333,1.5,True,26.285714285714285,71.42857142857143
2026-03-13,31.0,38.22,1.5,True,28.428571428571427,85.71428571428571
2026-03-14,32.0,38.75333333333333,1.5,True,28.571428571428573,85.71428571428571
2026-03-15,31.0,39.269999999999996,1.5,True,30.642857142857142,100.0
2026-03-16,30.0,39.769999999999996,1.5,True,30.571428571428573,100.0
2026-03-17,30.0,40.269999999999996,1.5,True,30.571428571428573,100.0
2026-03-18,30.0,40.769999999999996,1.5,True,30.571428571428573,100.0
2026-03-19,33.0,41.32,1.5,True,31.0,100.0
2026-03-20,14.0,41.55333333333333,1.5,False,28.571428571428573,85.71428571428571
2026-03-21,30.0,42.05333333333333,1.5,True,28.285714285714285,85.71428571428571
2026-03-22,30.0,42.55333333333333,1.5,True,28.142857142857142,85.71428571428571
2026-03-23,30.5,43.06166666666666,1.5,True,28.214285714285715,85.71428571428571
2026-03-24,30.0,43.56166666666666,1.5,True,28.214285714285715,85.71428571428571
2026-03-25,32.0,44.095,1.5,True,28.5,85.71428571428571
2026-03-26,30.0,44.595,1.5,True,28.071428571428573,85.71428571428571
2026-03-27,30.0,45.095,1.5,True,30.357142857142858,100.0
2026-03-28,30.0,45.595,1.5,True,30.357142857142858,100.0
2026-03-29,30.0,46.095,1.5,True,30.357142857142858,100.0
2026-03-30,30.0,46.595,1.5,True,30.285714285714285,100.0
2026-03-31,38.5,47.236666666666665,1.5,True,31.5,100.0
2026-04-01,30.0,47.736666666666665,1.5,True,31.214285714285715,100.0
2026-04-02,17.5,48.02833333333333,1.5,False,29.428571428571427,85.71428571428571
2026-04-03,15.0,48.27833333333333,1.5,False,27.285714285714285,71.42857142857143
2026-04-04,31.5,48.80333333333333,1.5,True,27.5,71.42857142857143
2026-04-05,31.0,49.32,1.5,True,27.642857142857142,71.42857142857143
2026-04-06,30.0,49.82,1.5,True,27.642857142857142,71.42857142857143
2026-04-07,30.0,50.32,1.5,True,26.428571428571427,71.42857142857143
2026-04-08,22.0,50.68666666666666,1.5,False,25.285714285714285,57.14285714285714
2026-04-09,32.0,51.22,1.5,True,27.357142857142858,71.42857142857143
2026-04-10,30.0,51.72,1.5,True,29.5,85.71428571428571
2026-04-11,16.5,51.995,1.5,False,27.357142857142858,71.42857142857143
2026-04-12,30.0,52.495,1.5,True,27.214285714285715,71.42857142857143
2026-04-13,30.0,52.995,1.5,True,27.214285714285715,71.42857142857143
2026-04-14,30.0,53.495,1.5,True,27.214285714285715,71.42857142857143
2026-04-15,31.0,54.01166666666666,1.5,True,28.5,85.71428571428571
2026-04-16,30.0,54.51166666666666,1.5,True,28.214285714285715,85.71428571428571
2026-04-17,30.0,55.01166666666666,1.5,True,28.214285714285715,85.71428571428571
2026-04-18,15.0,55.26166666666666,1.5,False,28.0,85.71428571428571
2026-04-19,35.5,55.85333333333333,1.5,True,28.785714285714285,85.71428571428571
2026-04-20,30.0,56.35333333333333,1.5,True,28.785714285714285,85.71428571428571
2026-04-21,34.0,56.919999999999995,1.5,True,29.357142857142858,85.71428571428571
2026-04-22,15.5,57.17833333333333,1.5,False,27.142857142857142,71.42857142857143
2026-04-23,30.0,57.67833333333333,1.5,True,27.142857142857142,71.42857142857143
2026-04-24,18.0,57.97833333333333,1.5,False,25.428571428571427,57.14285714285714
2026-04-25,30.0,58.47833333333333,1.5,True,27.571428571428573,71.42857142857143
2026-04-26,30.0,58.97833333333333,1.5,True,26.785714285714285,71.42857142857143
2026-04-27,30.0,59.47833333333333,1.5,True,26.785714285714285,71.42857142857143
2026-04-28,35.0,60.06166666666666,1.5,True,26.928571428571427,71.42857142857143
2026-04-29,31.0,60.57833333333333,1.5,True,29.142857142857142,85.71428571428571
2026-04-30,30.0,61.07833333333333,1.5,True,29.142857142857142,85.71428571428571
2026-05-01,30.0,61.57833333333333,1.5,True,30.857142857142858,100.0
2026-05-02,31.5,62.10333333333333,1.5,True,31.071428571428573,100.0
2026-05-03,30.0,62.60333333333333,1.5,True,31.071428571428573,100.0
